Date,Open,High,Low,Close,Adj Close,Volume
2021-11-24,68.000000,68.059998,67.230003,67.279999,60.712425,14975500
2021-11-26,65.010002,65.739998,63.810001,65.500000,59.106182,24542000
2021-11-29,65.989998,66.290001,64.459999,65.040001,58.691090,24340700
2021-11-30,64.320000,64.809998,63.360001,63.700001,57.481884,35574000
2021-12-01,64.660004,65.089996,62.500000,62.520000,56.417072,27379200
2021-12-02,63.340000,64.269997,62.759998,63.810001,57.581150,24890700
2021-12-03,63.740002,64.120003,62.430000,62.759998,56.633640,25458700
2021-12-06,62.939999,63.570000,62.139999,62.520000,56.417072,25105500
2021-12-07,62.950001,63.349998,62.320000,62.900002,56.759979,28301200
2021-12-08,63.020000,63.160000,62.349998,62.459999,56.362930,20697200
2021-12-09,61.869999,62.500000,60.849998,62.139999,56.074165,29960500
2021-12-10,61.680000,62.259998,60.200001,60.709999,54.783756,39726500
2021-12-13,60.490002,60.869999,59.779999,60.180000,54.305496,20489500
2021-12-14,60.450001,61.320000,60.380001,60.639999,54.720592,19571100
2021-12-15,60.939999,61.009998,59.540001,60.240002,54.359638,33861300
2021-12-16,61.099998,61.910000,60.820000,61.070000,55.108616,25688300
2021-12-17,60.270000,60.500000,58.959999,59.540001,53.727970,47383500
2021-12-20,58.599998,58.730000,57.590000,58.279999,52.590961,31619600
2021-12-21,58.740002,59.860001,58.650002,59.380001,53.583580,23175100
2021-12-22,59.310001,59.939999,59.099998,59.599998,53.782112,14760600
2021-12-23,59.990002,60.779999,59.950001,60.209999,54.332565,15223300
2021-12-27,60.400002,60.939999,60.000000,60.650002,54.729614,14035400
2021-12-28,60.439999,61.330002,60.310001,60.619999,54.702538,12697900
2021-12-29,60.810001,60.980000,60.270000,60.540001,54.630356,13284000
2021-12-30,60.619999,61.070000,60.389999,60.430000,54.531090,11380500
2021-12-31,60.430000,60.759998,60.119999,60.389999,54.494991,12307200
2022-01-03,61.180000,63.610001,61.110001,63.099998,56.940453,30508500
2022-01-04,64.059998,64.730003,63.540001,63.590000,57.382622,30303600
2022-01-05,64.099998,64.410004,62.779999,62.849998,56.714851,25149100
2022-01-06,64.220001,65.309998,63.509998,64.910004,58.573769,33334200
2022-01-07,65.180000,66.550003,65.180000,65.779999,59.358841,26548200
2022-01-10,66.459999,66.980003,65.220001,66.029999,59.584442,28693700
2022-01-11,66.379997,67.279999,66.169998,67.110001,60.559010,23453000
2022-01-12,67.779999,68.650002,66.919998,67.279999,60.712425,27976200
2022-01-13,67.529999,68.440002,67.019997,67.779999,61.163612,29222000
2022-01-14,65.360001,67.080002,65.080002,66.930000,60.396587,35994400
2022-01-18,66.690002,66.839996,65.099998,65.300003,58.925701,26353600
2022-01-19,65.660004,65.660004,63.970001,64.239998,57.969173,22817100
2022-01-20,64.290001,65.449997,63.700001,64.459999,58.167698,22794100
2022-01-21,63.990002,64.449997,62.750000,63.270000,57.093857,28637900
2022-01-24,61.509998,62.799999,60.029999,62.700001,56.579502,38601700
